epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,445.23,2.15636,3.7607,2.2308,0.01235,0.26334,0.13768,0.06483,1.81198,3.95716,1.84767,0.000216157,0.000216157,0.000216157
2,1118.84,2.02895,2.43719,2.0133,0.96144,0.10445,0.31544,0.14536,1.94745,2.89295,1.94584,0.00039508,0.00039508,0.00039508
3,1774.46,1.98716,2.06435,1.94198,0.50573,0.33837,0.35431,0.15867,2.01152,2.19764,1.9779,0.000529981,0.000529981,0.000529981
4,2446.49,1.95138,1.94845,1.95735,0.54571,0.36393,0.39729,0.17934,1.95041,1.95817,1.93278,0.000468901,0.000468901,0.000468901
5,3045.21,1.91128,1.86524,1.88882,0.57237,0.41785,0.43104,0.2037,1.88194,1.78538,1.89147,0.000402868,0.000402868,0.000402868
6,3509.09,1.84498,1.7715,1.84753,0.47715,0.4183,0.42758,0.20282,1.87826,1.733,1.85498,0.000336835,0.000336835,0.000336835
7,3937.67,1.81394,1.73353,1.832,0.48287,0.45383,0.46417,0.21552,1.87476,1.712,1.84026,0.000270802,0.000270802,0.000270802
8,4394.6,1.77053,1.66591,1.78706,0.57903,0.41459,0.47447,0.22727,1.81385,1.642,1.79108,0.000204769,0.000204769,0.000204769
9,4851.01,1.74297,1.5997,1.74858,0.64471,0.45805,0.49239,0.23334,1.81309,1.61849,1.79223,0.000138736,0.000138736,0.000138736
10,5305.14,1.70641,1.54513,1.71424,0.85799,0.41252,0.49389,0.23831,1.78681,1.58126,1.77553,7.2703e-05,7.2703e-05,7.2703e-05
